,title,company,city,rating,salary
0,Data Scientist,ForMotiv,Remote,,"$75,000 - $120,000 a year"
1,Entry Level - Associate Data Scientist,IBM,"Austin, TX 73301 (St Edwards area)",3.9,
2,Data Entry,TransPerfect Translations Inc.,Remote,,
3,Data Scientist (36776),RCI,"Cambridge, MA 02140 (North Cambridge area)",,"$100,499 - $184,456 a year"
4,Data Scientist - Entry Level,Numerdox,"Sacramento, CA",,
5,Data Scientist - Remote Nationwide,UnitedHealth Group,"San Antonio, TX 78217 (Oak Grove Estates area)",3.7,
6,Junior Data Scientist,Jane.com,"Lehi, UT",3.8,
7,Data Science Intern,Noodle,Remote,4.4,$18 an hour
8,Data Scientist,Valkyrie Intelligence,"Austin, TX 78705 (West University area)",,"$85,000 - $115,000 a year"
9,"Data Scientist, Growth - Location Flexible",Dropbox,California,3.9,
10,"Junior Data Scientist, ML R&D","LockerDome, Inc.",Remote,,
11,Data Scientist,Pediatric Associates,Remote,3.8,"From $70,000 a year"
12,Senior Data Scientist,Silent Eight,"Austin, TX 78702 (East Cesar Chavez area)",,
13,Data Scientist - New College Grad,Proofpoint,"Sunnyvale, CA 94085",3.9,
14,Data Scientist,Source Enterprises,"New York, NY 10036 (Midtown area)",4.3,
15,Data Scientist,Valkyrie Intelligence,"Austin, TX 78705 (West University area)",,"$85,000 - $115,000 a year"
16,Junior Data Scientist,PIÑATA SCIENCES,"Boston, MA",,
17,Associate Data Scientist,The General Insurance,"Nashville, TN",,"Up to $114,660 a year"
18,Data Scientist 2,PayPal,"Austin, TX 78729",3.9,
19,Data Scientist Senior,USAA,"San Antonio, TX 78288 (Downtown area)",3.9,
20,Data Scientist,"The Launchpad Group, Inc.","Winter Park, FL 32792",,$20 - $30 an hour
21,Data Scientist,kraken,Remote,3.9,
22,Data Scientist (Earlier in Career),Genentech,"South San Francisco, CA 94080",4.1,
23,Public Policy Data Scientist,Metaculus,Remote,,"$80,000 - $120,000 a year"
24,Data Scientist,Dynamic Inc.,"Naperville, IL",,
25,NLP Data Scientist,Glean Analytics Inc.,Remote,,
26,Data Scientist,George Fox University - Staff and Administrator,"Newberg, OR 97132",,
27,Data Scientist,Government of the District of Columbia,"Washington, DC 20001 (Judiciary Square area)",3.6,"$82,326 - $105,339 a year"
28,Junior Data Scientist,Lull,Remote,2.6,
29,Data Scientist - Autonomous Driving,DiDi Labs,"Mountain View, CA",,
30,Data Scientist II,Cox Automotive,"Atlanta, GA 30319",3.4,
31,Data Scientist - Senior Health Solutions - Remote,Mutual of Omaha,Remote,3.7,
32,"Data Scientist, LTV",Time Warner,"Los Angeles, CA",3.8,
33,Data Scientist,Moorecroft Systems,Remote,,
34,Data Scientist,kraken,Remote,3.9,
35,Vitria Data Scientist,Vitria Technology,"Menlo Park, CA 94025 (Lorelei Manor area)",3.3,
36,Data Scientist - Podcasts (Remote Eligible - Americas),Spotify,"New York, NY",4.3,
37,Junior Data Scientist,Lull,Remote,2.6,
38,Full Time Opportunities for Students & Recent Graduates - MA...,Microsoft,"Cambridge, MA",4.2,
39,Data Scientist,"The Launchpad Group, Inc.","Winter Park, FL 32792",,$20 - $30 an hour
40,Data Scientist,"iHeartMedia, Inc.","San Antonio, TX 78258 (Stone Oak area)",3.6,
41,Senior Data Scientist,Spin Electric Scooters,"San Francisco, CA",3.0,
42,"Data Scientist, Analytics",Facebook,"Los Angeles, CA",4.2,
43,Lead Data Scientist,TRANZACT,United States,2.6,"$150,000 - $165,000 a year"
44,Data Scientist,HP,"Boise, ID 83714 (West Bench area)",4.0,
45,Data Scientist (all levels),Cascade Data Labs,"Portland, OR 97202 (Hosford-Abernethy area)",,"$65,000 - $160,000 a year"
46,Senior Data Scientist,Spin Electric Scooters,"San Francisco, CA",3.0,
47,Data Scientist,Moorecroft Systems,Remote,,
48,Data Scientist,"Evozyne, LLC","Chicago, IL 60614 (Wrightwood Neighbors area)",,"From $100,000 a year"
49,"Data Scientist, Junior",FEDDATA,"Columbia, MD 21046",4.3,
50,Applied Data Scientist,Snapchat,"Los Angeles, CA 90291 (Venice area)",3.5,
51,Data Scientist,Intel,"Hillsboro, OR 97124",4.1,
52,Data Scientist- COR,Houston Methodist,"Houston, TX",4.2,
53,Data Scientist,Luxoft,"Plano, TX",4.4,
54,Sr. Data Scientist,Victory Capital Management,"San Antonio, TX 78256 (Friends Of Friedrich Wilderness Park area)",3.4,
55,Data Scientist,Wunderman Thompson,"Denver, CO",4.0,"$130,000 - $150,000 a year"
56,Data Scientist,choozle.com,"Denver, CO",,
57,Data Scientist,Concentric Corp.,"Omaha, NE 68137",,
58,Data Scientist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",4.3,"$70,150 - $172,500 a year"
59,Deep Learning ML Data Scientist,Intel,"Hillsboro, OR 97124",4.1,
60,Senior Data Scientist,One Drop,"Austin, TX",,
61,"Data Scientist, Junior",FEDDATA,"Columbia, MD 21046",4.3,
62,Data Scientist,Home Chef,"Chicago, IL 60607 (South Loop area)",3.1,
63,Data Scientist,choozle.com,"Denver, CO",,
64,Deep Learning ML Data Scientist,Intel,"Hillsboro, OR 97124",4.1,
65,"Data Scientist, Growth - Location Flexible",Dropbox,California,3.9,
66,Data Scientist,Concentric Corp.,"Omaha, NE 68137",,
67,Data Scientist,Elutions,"Delafield, WI",3.3,
68,Statistician (Data Scientist) *12 month Roster* *Direct Hire...,US Department of the Treasury,"Birmingham, AL",4.0,"$91,231 - $144,676 a year"
69,Data Scientist,Garner Health,Remote,,
70,Data Scientist,Cognizant Technology Solutions,"Torrance, CA 90501",3.9,
71,Data Scientist,Prudential,"Newark, NJ 07102 (Central Business District area)",3.9,
72,Data Scientist,Infosys Limited,"Atlanta, GA",3.9,
73,Data Scientist,"iHeartMedia, Inc.","San Antonio, TX 78258 (Stone Oak area)",3.6,
74,Senior-Data Scientist,AT&T,"Plano, TX",3.7,
