,title,company,rating,CITY,state,salary_year_mean
0,Data Scientist,ForMotiv,,Remote,REMOTE,97500.0
1,Entry Level - Associate Data Scientist,IBM,3.9,Austin,TX,
2,Data Entry,TransPerfect Translations Inc.,,Remote,REMOTE,
3,Data Scientist (36776),RCI,,Cambridge,MA,142477.5
4,Data Scientist - Entry Level,Numerdox,,Sacramento,CA,
5,Data Scientist - Remote Nationwide,UnitedHealth Group,3.7,San Antonio,TX,
6,Junior Data Scientist,Jane.com,3.8,Lehi,UT,
7,Data Science Intern,Noodle,4.4,Remote,REMOTE,35100.0
8,Data Scientist,Valkyrie Intelligence,,Austin,TX,100000.0
9,"Data Scientist, Growth - Location Flexible",Dropbox,3.9,California,CA,
10,"Junior Data Scientist, ML R&D","LockerDome, Inc.",,Remote,REMOTE,
11,Data Scientist,Pediatric Associates,3.8,Remote,REMOTE,70000.0
12,Senior Data Scientist,Silent Eight,,Austin,TX,
13,Data Scientist - New College Grad,Proofpoint,3.9,Sunnyvale,CA,
14,Data Scientist,Source Enterprises,4.3,New York,NY,
15,Data Scientist,Valkyrie Intelligence,,Austin,TX,100000.0
16,Junior Data Scientist,PIÑATA SCIENCES,,Boston,MA,
17,Associate Data Scientist,The General Insurance,,Nashville,TN,114660.0
18,Data Scientist 2,PayPal,3.9,Austin,TX,
19,Data Scientist Senior,USAA,3.9,San Antonio,TX,
20,Data Scientist,"The Launchpad Group, Inc.",,Winter Park,FL,48750.0
21,Data Scientist,kraken,3.9,Remote,REMOTE,
22,Data Scientist (Earlier in Career),Genentech,4.1,South San Francisco,CA,
23,Public Policy Data Scientist,Metaculus,,Remote,REMOTE,100000.0
24,Data Scientist,Dynamic Inc.,,Naperville,IL,
25,NLP Data Scientist,Glean Analytics Inc.,,Remote,REMOTE,
26,Data Scientist,George Fox University - Staff and Administrator,,Newberg,OR,
27,Data Scientist,Government of the District of Columbia,3.6,Washington,DC,93832.5
28,Junior Data Scientist,Lull,2.6,Remote,REMOTE,
29,Data Scientist - Autonomous Driving,DiDi Labs,,Mountain View,CA,
30,Data Scientist II,Cox Automotive,3.4,Atlanta,GA,
31,Data Scientist - Senior Health Solutions - Remote,Mutual of Omaha,3.7,Remote,REMOTE,
